x_target y_target x_pred y_pred distance
70 50 682.1555689441127 304.214668204336 662.8420159582002
90 50 685.2497485536179 309.47248619402995 649.3444650144147
110 50 687.657802945959 314.5653072165777 635.3607944207406
130 50 686.4288570825574 318.37584352537 617.7691044250716
150 50 685.7697632807126 319.1952097866872 599.5959474662661
170 50 685.5354404871224 321.28028588762595 582.5545329919967
190 50 685.47330700168 324.515263106121 566.4383705482918
210 50 688.4886197822666 325.60036974001684 552.1837765291302
230 50 689.0756460242746 324.80297061772717 535.039364376989
250 50 687.4650712150624 326.2324887254814 517.3780787399799
270 50 687.7438672779309 324.8855482685731 500.0719981115075
290 50 686.3071391553557 326.2168426805868 483.0684141257163
310 50 683.7194679439237 319.84217931621583 460.9566600651456
330 50 681.3437526419361 318.12611537415 441.96611438678195
350 50 677.4683294811118 317.09272997008054 422.5802092100627
370 50 676.381845865429 318.51667913803544 407.395437445274
390 50 677.6102983155317 322.36840094693383 396.1113852586654
410 50 678.948989357918 322.4614768486957 382.8430686890097
430 50 678.2652734878047 326.2503908914515 371.41610693083067
450 50 683.6413087014955 325.8218380444463 361.4774508513142
470 50 683.8677097282199 321.9799275038004 345.9949106986498
490 50 685.2938251520005 322.6203355332136 335.3528373053404
510 50 688.1213782875816 324.05941460988197 326.8574431451408
530 50 688.2747595009141 324.66405560148496 317.00353773188056
550 50 688.8866123732074 326.3939180427889 309.3268320523609
570 50 689.8928824042682 320.42173701476537 295.807740096987
590 50 685.2975764844975 311.1418650673909 277.9868733855864
610 50 684.9505221208749 306.2738283964276 267.00909326679
630 50 684.3319209907206 316.15517856176746 271.64413616676546
650 50 685.2517523304616 317.33917446331856 269.6533334581586
670 50 685.962407169767 317.79817859685926 268.27348527659
690 50 687.581374504787 314.1507088623433 264.16178137982894
710 50 689.2445944252927 314.7648167259469 265.5770981024057
730 50 688.3444125250962 314.15069839604905 267.41499477590975
750 50 693.82701690088 315.5961961368669 271.471441283659
770 50 696.4738306855015 314.9384751728661 274.9518015961847
790 50 682.6510787674608 310.59513238367157 281.8396954154138
810 50 685.4185704193205 315.1094669659218 292.9224506099199
830 50 678.6248058237401 319.266861239224 308.8998089567617
850 50 671.8920354177928 318.4813995710981 322.1873817567541
870 50 674.0972456115215 322.84937102546564 335.8938350818376
890 50 671.9734926297335 326.2423541229533 351.91674601738976
910 50 674.2374772929767 327.9969989813517 364.5082969643041
930 50 674.7633381391605 324.41839444890826 374.76820672221
950 50 686.5233892361355 331.9036590464707 385.8621481868904
970 50 683.4881666434492 333.0126220132571 402.72220558612196
990 50 679.9860595081306 326.8480791197564 415.63626190648387
1010 50 685.9729410278925 333.44405157027705 430.50443123931666
1030 50 686.7159491557976 334.46287306932516 445.82851604496983
1050 50 680.5489629774384 330.01974621090267 463.5786093264707
1070 50 687.4939796561227 330.9839605081353 474.6186275970929
1090 50 691.929097707419 333.414987592795 488.6558077463663
1110 50 685.2936693718093 330.1162912251689 508.76379970022003
1130 50 683.6201567898349 322.72679418878204 523.1012031077943
1150 50 691.5274308585679 322.8685330533233 533.5300675555388
1170 50 689.0940394042943 325.7423079738195 554.3503976215829
1190 50 681.6500288067559 321.4294183343112 576.2756478886424
1210 50 685.8034230262762 326.3424954976015 592.5767681311942
1230 50 689.0043816827991 327.26861139470805 607.9096494571871
1230 50 676.3073744828653 326.3300813483152 618.8164812042618
1212 59 681.682884201412 330.0958595430117 595.5914777515687
1194 68 682.5550753164796 337.6711820390741 578.1854870254729
1176 77 677.2080369764285 335.94624424285354 562.0022951771527
1159 87 675.6325047622058 334.3055820786422 542.9587335882121
1141 96 682.8070439499257 336.6417790727181 517.5415450079232
1123 105 679.3416592733402 332.6067192770751 498.6356805889509
1106 115 677.887296037366 332.665789674067 480.26959438281443
1088 124 681.3762749988559 333.84720948305085 457.5791790079936
1070 133 682.5305318298389 332.7075508249961 435.90789694680444
1052 143 683.3485301366293 332.38739548354647 414.4532444081781
1035 152 697.4409027342124 338.79886779014953 385.79782419626895
1017 161 704.9684120826387 336.3193351195412 357.91141519234617
999 170 700.8467061024894 340.37963181332407 343.4015224176783
982 180 699.5766042262762 341.6327415729098 325.40454457296147
964 189 694.3446596340461 340.94498353389895 309.5178195338602
946 198 688.853970864484 341.0580209059917 294.2612404746891
